Country,ISO,Unconditional,Conditional,2020,Unconditional_b20,Conditional_b20
Afghanistan,AFG,51.7,45.5,34.3095165,0.5068705500411235,0.32616266976539876
Angola,AGO,27.6,-1.4,133.3095382,-0.7929630514615345,-1.0105018742012266
Albania,ALB,12.0,12.0,8.351837841,0.43680950569835186,0.43680950569835186
Andorra,AND,0.3,0.3,0.50974524,-0.41147071819640735,-0.41147071819640735
United Arab Emirates,ARE,185.3,185.3,248.7281723,-0.25501000434923393,-0.25501000434923393
Argentina,ARG,349.0,349.0,390.8392747,-0.10704982177677747,-0.10704982177677747
Armenia,ARM,10.6,15.1,10.08743341,0.050812388956330334,0.49691198804156467
Antigua and Barbuda,ATG,1.4,1.4,1.344592634,0.041207548367396374,0.041207548367396374
Australia,AUS,354.0,354.0,581.5382737,-0.39126964464832603,-0.39126964464832603
Azerbaijan,AZE,51.5,54.2,52.10250022,-0.011563748715627487,0.040257180963359174
Burundi,BDI,7.4,6.7,7.191219492,0.02903269858919777,-0.06830823235842898
Benin,BEN,35.2,35.2,27.46938372,0.2814266369715266,0.2814266369715266
Burkina Faso,BFA,88.0,77.5,53.41721442,0.6474090039231215,0.4508431568641127
Bangladesh,BGD,381.8,319.9,235.1039437,0.6239625503142932,0.3606747507740764
Bahrain,BHR,35.5,35.5,53.78997466,-0.3400257162344609,-0.3400257162344609
The Bahamas,BHS,6.5,4.4,2.470731379,1.6307999547206138,0.7808492001185696
Bosnia and Herzegovina,BIH,22.7,21.5,24.34292641,-0.06749091634788384,-0.11678655072596922
Belarus,BLR,76.2,70.3,86.48068735,-0.11887841858139436,-0.1871017431269295
Belize,BLZ,7.0,5.9,6.870022685,0.018919488473275736,-0.1411964311439533
Bolivia,BOL,87.3,87.3,131.6310958,-0.33678285157905674,-0.33678285157905674
Brazil,BRA,1200.0,1200.0,1477.998672,-0.18809128672884212,-0.18809128672884212
Barbados,BRB,1.2,0.6,3.813508998,-0.685329180912031,-0.8426645904560155
Brunei,BRN,24.5,24.5,12.31608472,0.9892685505982783,0.9892685505982783
Bhutan,BTN,0.7,0.0,0.586017,0.19450459628304295,-1.0
Botswana,BWA,22.7,18.6,53.96251512,-0.5793376207628478,-0.6553162883783686
Central African Republic,CAF,15.6,13.4,55.55788973,-0.7192117973556444,-0.7588101336260022
Canada,CAN,425.0,425.0,725.8765388,-0.4145009829046151,-0.4145009829046151
Switzerland,CHE,27.1,27.1,42.32786089,-0.3597597556269987,-0.3597597556269987
Chile,CHL,46.7,46.7,49.26164272,-0.052000757152176336,-0.052000757152176336
China,CHN,13153.4,13153.4,12107.80381,0.0863572127867176,0.0863572127867176
Ivory Coast,CIV,84.5,1.3,53.95111108,0.5662328042642417,-0.975904110703627
Cameroon,CMR,108.0,80.7,130.9237877,-0.17509261000398013,-0.38361086691964075
Democratic Republic of the Congo,COD,1375.6,1109.6,700.3814926,0.964072458416072,0.5842794415952846
Republic of Congo,COG,12.0,7.1,30.10082854,-0.6013398772710328,-0.7641260940520277
Cook Islands,COK,0.1,0.0,0.0781831,0.2790487969906539,-1.0
Colombia,COL,169.4,169.4,271.7160102,-0.3765549557594675,-0.3765549557594675
Comoros,COM,-1.3,-1.8,0.567000274,-3.292767851466682,-4.1746016404923285
Cape Verde,CPV,0.8,0.8,0.63083491,0.2681606349274488,0.2681606349274488
Costa Rica,CRI,9.1,9.1,7.081174943,0.2850974694525352,0.2850974694525352
Cuba,CUB,34.0,34.0,29.73566142,0.14340823026495175,0.14340823026495175
Djibouti,DJI,2.8,1.9,1.442308344,0.9413324561616763,0.31733273810970886
Dominica,DMA,0.2,0.1,0.214220772,-0.06638372118274316,-0.5331918605913716
